PDBID	Resolution
3a61	3.43
7ll5	1.5
7bwa	4.9
2c6i	1.8
4l7w	2.305
6brc	2.2
3eg1	1.85
2gqg	2.4
4pdo	2.104
3ctq	1.95
7nfw	1.19
4ub7	2.1
4kxf	3.2
6v9f	1.849
5n9s	2.3
2bew	1.79
6axg	3.302
6gu6	2.33
3cd3	1.98
4o0r	2.4
6r6e	2.25
5jfv	1.59
5am6	1.96
7r9t	2.0
6g76	3.0
1v18	2.1
3e88	2.5
4yjv	1.652
3lo5	2.568
4wun	1.65
6f3g	2.37
1iep	2.1
1zoq	2.37
5dhj	2.457
8aob	1.623
4acg	2.6
2oza	2.7
8cnn	1.48
4rqk	1.55
5r92	1.66
3vbt	2.23
1pxm	2.53
5ajq	2.2
6fyo	2.32
6bvj	1.747
6vhg	2.303
5bue	2.4
1pxk	2.8
4ez7	2.49
4j8n	3.135
5c1z	1.79
6eim	1.43
6zfd	1.9
5dh3	2.468
3acj	2.2
4qmp	2.0
3flw	2.1
5uor	2.75
7ztl	1.9
7eg9	3.7
3owk	1.8
2r3n	1.63
1ke7	2.0
1ywn	1.71
4s32	1.34
4rj3	1.63
7bwt	2.3
3gi3	2.4
3ad6	2.15
4uwy	2.305
5kzi	2.1
4qyy	1.65
4m67	1.9
2n06	No resolution data available
6b5b	5.2
9epv	2.3
6p3w	2.54
6r4j	2.42
4zth	2.15
1ew2	1.82
1p2a	2.5
3qd3	2.0
6ynh	2.621
2rgd	2.0
4ztr	2.85
4iac	2.15
4acm	1.63
7dua	1.64
3kud	2.15
1wbw	2.41
3ekn	2.2
6lvl	2.98
5dt0	2.15
8r9u	1.937
6d5v	2.04
3ekk	2.1
3q6w	1.75
6mom	2.1
8r1p	2.45
7zr6	4.2
6sam	2.5
3bv2	2.4
7kjc	2.3
2j51	2.1
5o2b	2.038
6tn9	2.6
1ogu	2.6
3iop	2.2
6q7k	1.84
3u6h	2.0
8r18	1.89
7dhv	2.679
8ai7	2.13
4f9c	2.08
4elj	2.7
8erd	1.33
4qmy	1.883
1u5b	1.83
6wet	2.6
5vja	2.46
4qna	1.849
3up2	2.3001
5n4z	2.257
6f7q	2.6
3w8l	2.4
2jj3	2.28
8t2h	1.85
2b54	1.85
4fkp	1.6
5ztn	2.496
4efn	2.3
7ug1	1.84
1rej	2.2
2pvf	1.8
4mq1	2.35
1fvt	2.2
7amz	2.25
5ndt	1.985
2hy8	2.0
6mzc	4.5
1qwt	2.1
3gql	2.8
7c2v	2.44
6jgm	2.3
8u4b	3.9
5orw	2.0
3bhu	2.3
6cfo	2.7
7zw8	2.119
7zyr	1.85
3uod	2.5002
5jer	2.913
7ajv	2.1
1xf9	2.7
4p90	2.49
7bu5	1.8
3we4	1.995
4o0t	2.6
5bpm	1.83
4kin	1.97
4wrq	2.409
5m4i	2.218
6dcg	1.45
1mqb	2.3
3cek	2.3
7kxw	3.002
2fvd	1.85
6z50	1.6
6hmx	2.53
3sa0	1.5947
6usb	1.68
4lhw	1.55
5dey	2.1
8an8	2.394
7oa0	1.81
1j1c	2.1
6rcm	1.7
5r8y	1.679
7edx	4.5
4rx7	1.8
4r1v	1.2
8d6e	2.15
4nts	2.9
2rga	1.9
6npz	2.12
7q6h	1.749
4aqd	2.5
4bn1	2.499
1w8c	2.05
6yjc	1.74100939272
2xqf	2.1
7cht	2.4
1aot	No resolution data available
2c5y	2.25
3zsg	1.89
1q8x	No resolution data available
5kpm	2.69
6xvj	1.78
3sc1	2.7
2ivt	2.6
3ue4	2.424
5aaf	2.78
8wao	6.4
4ytf	1.78
2n0u	No resolution data available
1r0e	2.25
8c15	2.41
2yix	2.3
3h10	2.2
3umx	2.55
3kkn	2.09
4wwy	1.7
4rwk	2.982
3rdh	2.39
6ble	1.9
5w85	2.25
2ezy	No resolution data available
1qpj	2.2
5ra6	1.86
5r9s	1.7
5tbe	2.44
6sdc	1.67
8fo8	3.88
5dfp	2.2
3qzg	1.75
4xx9	1.4
8qlq	1.64
6gdq	1.86
7qg5	2.3
3hrf	1.9
3cqu	2.2
2vtr	1.89
2glq	1.6
7b44	1.76
3jy9	2.1
8wu1	3.2
1l7x	2.3
6ghd	2.1
8bxc	1.9
7aj7	2.9
7q1m	2.79
1p2v	2.3
1ke6	2.0
7lqd	1.95
5ui0	2.05
3pg3	2.0
1gol	2.8
6zsj	2.0
4eh5	2.0
4qmq	1.769
4o6l	2.38
8bhv	4.51
5ap3	2.7
8fjz	1.897
5r9r	1.76
3lfd	3.4
7nla	1.4
4gva	1.83
3fr0	2.7
5zjw	1.798
1qra	1.6
4rx8	1.59
6wtq	1.79968475557
6oxl	3.5
6itv	1.881
1ir3	1.9
6kla	2.109
3dds	1.8
6cn9	1.8
8h6j	3.25
4xw6	1.9
3qud	2.0
5ia2	1.619
6gmh	3.1
5ory	1.99
3oiu	1.32
1hjo	2.3
7z3l	2.4
6npv	1.86
4bzo	2.1
8j61	3.05065283716
4ap7	1.8
2g15	2.15
8haq	2.27
8dfp	3.17
8r4o	2.725
8qo9	5.29
7s0w	2.5
5nkh	1.29
7vkn	2.7
1gij	2.2
2wfy	2.53
2xng	2.605
5orn	2.19
6rfe	1.54
6hop	1.55
5aqx	2.12
5lvl	1.4
5oaz	1.03
4fkj	1.63
8g16	2.07
2bhe	1.9
5n68	1.85
7be5	1.80005236022
6sod	1.87
5ih6	2.3
6l22	2.12318084151
2k4d	No resolution data available
4gv1	1.49
8inf	3.0
3rpv	1.8
7l24	2.68
5nkg	1.1
5nkb	1.5
3bgq	2.0
6p8h	3.19
7ejv	2.5
6p8f	2.89
6zcy	1.81
5v80	2.252
4bie	2.36
4bds	2.1
8ao5	1.595
6hm6	2.1
4v01	2.33
3uol	2.4
6sfi	1.6
3vqu	2.4
4njd	2.5
6pxp	2.35
7ogc	1.7
1kl9	1.9
3e87	2.3
1h27	2.2
